Date,East,East Midlands,London,North East,North West,Northern Ireland,Scotland,South East,South West,Wales,West Midlands,Yorkshire and The Humber
March 1996,147198,88519,391047,50750,162942,13832,122129,264992,120384,45880,123460,93736
March 1997,137853,90298,408049,47263,163176,16283,115978,263314,118925,49968,118633,96082
March 1998,151139,92350,418062,51475,157650,20304,118882,279683,116166,45616,115719,105726
March 1999,157660,95448,452835,47310,160223,21100,124828,281832,121826,45976,123034,91839
March 2000,166695,92951,450864,50268,160709,24976,127609,315893,127065,46663,123824,105677
March 2001,179336,93626,499242,45596,162181,25853,136692,310613,129907,46642,121171,105538
March 2002,176581,94364,481141,46736,168172,25857,130484,325672,130846,56160,123063,107486
March 2003,182085,97486,477158,48466,175304,26823,137240,328649,131802,53019,126292,117355
March 2004,190815,107768,492880,50437,186776,27711,149501,329885,145820,52632,135467,133052
March 2005,200220,113642,504208,51908,185367,28446,148437,359054,149571,55530,142959,127037
March 2006,209352,117718,545932,62057,195871,29358,161131,354214,162271,65420,151885,135520
March 2007,215830,118104,569443,61134,217841,33593,161237,365946,169335,67318,150435,125487
March 2008,218119,120006,586175,56238,216860,32744,175450,361858,187485,67640,153525,142002
March 2009,232147,130118,595381,70915,223173,33778,180690,383302,176671,65279,155693,145089
March 2010,210691,138252,626794,74384,240264,31934,172685,400503,182998,77717,145405,139645
March 2011,212056,119879,603871,63753,241979,32624,194167,386821,199283,55288,151418,142752
March 2012,237972,123080,624162,70470,234558,33795,182409,427020,197009,53873,150743,155320
March 2013,242661,146572,676357,59962,261149,32270,187859,405176,191535,69671,165310,165598
March 2014,254932,157883,744504,63396,281060,32794,182720,442301,201569,67058,178711,175969
March 2015,263044,163039,753700,75443,293052,39562,190611,432329,238520,72977,195420,173415
March 2016,277624,162464,788461,85517,305256,37344,207532,463102,217122,72170,202833,187615
March 2017,286329,157806,829812,65403,302250,38155,196561,440078,224186,74490,215548,197930
March 2018,292895,150110,792677,67874,279243,46213,206881,395901,221016,89701,234002,208884
March 2019,318687,156671,842619,56237,298771,44113,213631,443117,257923,88120,212209,198537
